Week,Chg,Player,Team,Opp,Att_Predicted,Yard,TD_Predicted,Rec_Predicted,Yard.1,TD.1_Predicted,FPts,Loc,Game,Pts*,Att_Actual,Cmp,Yds,TD_Actual,Int,2Pt,Att.1,Yds.1,TD.1_Actual,2Pt.1,Rec_Actual,Yds.2,TD.2,2Pt.2,FL,TD.3,Year,Net_score
1,,Adam Thielen,MIN,GB,0,0,0.0,5,62,1.0,12.2,Home,GB@MIN,3.0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,2022,-9.2
1,,DeVante Parker,NE,MIA,0,0,0.0,5,59,1.0,11.9,Away,NE@MIA,0.0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2022,-11.9
1,,JuJu Smith-Schuster,KC,ARI,0,0,0.0,4,54,1.0,11.4,Away,KC@ARI,6.0,0,0,0,0,0,0,0,0,0,0,6,79,0,0,1,0,2022,-5.4
1,,Corey Davis,NYJ,BAL,0,0,0.0,4,52,1.0,11.2,Home,BAL@NYJ,7.0,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0,2022,-4.199999999999999
1,,Russell Gage,TB,DAL,0,0,0.0,4,52,1.0,11.2,Away,TB@DAL,1.0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,2022,-10.2
1,,Jaylen Waddle,MIA,NE,0,0,0.0,6,74,0.0,7.4,Home,NE@MIA,12.0,0,0,0,0,0,0,1,8,0,0,4,69,1,0,0,0,2022,4.6
1,,Hunter Renfrow,LV,LAC,0,0,0.0,6,69,0.0,6.9,Away,LV@LAC,2.0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,2022,-4.9
1,,Brandon Aiyuk,SF,CHI,0,0,0.0,5,64,0.0,6.4,Away,SF@CHI,4.0,0,0,0,0,0,0,1,7,0,0,2,40,0,0,0,0,2022,-2.4000000000000004
1,,Tyler Lockett,SEA,DEN,0,0,0.0,5,64,0.0,6.4,Home,DEN@SEA,2.0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,2022,-4.4
1,,D.J. Chark,DET,PHI,0,0,0.0,5,62,0.0,6.2,Home,PHI@DET,11.0,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0,2022,4.8
1,,Sammy Watkins,GB,MIN,0,0,0.0,5,61,0.0,6.1,Away,GB@MIN,1.0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,2022,-5.1
1,,Wan'Dale Robinson,NYG,TEN,2,10,0.0,4,49,0.0,5.9,Away,NYG@TEN,0.0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2022,-5.9
1,,Drake London,ATL,NO,0,0,0.0,4,58,0.0,5.8,Home,NO@ATL,7.0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,2022,1.2000000000000002
1,,Jakobi Meyers,NE,MIA,0,0,0.0,4,58,0.0,5.8,Away,NE@MIA,5.0,0,0,0,0,0,0,1,7,0,0,4,55,0,0,0,0,2022,-0.7999999999999998
1,,Amari Cooper,CLE,CAR,0,0,0.0,4,55,0.0,5.5,Away,CLE@CAR,1.0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,2022,-4.5
2,,Cooper Kupp,LAR,ATL,0,0,0.0,8,109,1.0,16.9,Home,ATL@LA,21.0,0,0,0,0,0,0,0,0,0,0,11,108,2,0,1,0,2022,4.100000000000001
2,,Justin Jefferson,MIN,PHI,0,0,0.0,7,103,1.0,16.3,Away,MIN@PHI,4.0,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0,2022,-12.3
2,,Davante Adams,LV,ARI,0,0,0.0,8,101,1.0,16.1,Home,ARI@LV,7.0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0,2022,-9.100000000000001
2,,Ja'Marr Chase,CIN,DAL,0,0,0.0,8,97,1.0,15.7,Away,CIN@DAL,5.0,0,0,0,0,0,0,1,4,0,0,5,54,0,0,0,0,2022,-10.7
2,,A.J. Brown,PHI,MIN,0,0,0.0,7,92,1.0,15.2,Home,MIN@PHI,6.0,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0,2022,-9.2
2,,Tyreek Hill,MIA,BAL,2,9,0.0,6,82,1.0,15.1,Away,MIA@BAL,31.0,0,0,0,0,0,0,0,0,0,0,11,190,2,0,0,0,2022,15.9
2,,Deebo Samuel,SF,SEA,8,41,1.0,4,50,0.0,15.1,Home,SEA@SF,9.0,0,0,0,0,0,0,4,53,0,0,5,44,0,0,0,0,2022,-6.1
2,,Mike Williams,LAC,KC,0,0,0.0,7,89,1.0,14.9,Away,LAC@KC,17.0,0,0,0,0,0,0,0,0,0,0,8,113,1,0,0,0,2022,2.0999999999999996
2,,Stefon Diggs,BUF,TEN,0,0,0.0,7,85,1.0,14.5,Home,TEN@BUF,32.0,0,0,0,0,0,0,0,0,0,0,12,148,3,0,0,0,2022,17.5
2,,Mike Evans,TB,NO,0,0,0.0,6,83,1.0,14.3,Away,TB@NO,6.0,0,0,0,0,0,0,0,0,0,0,3,61,0,0,0,0,2022,-8.3
2,,Amon-Ra St. Brown,DET,WAS,0,0,0.0,7,83,1.0,14.3,Home,WAS@DET,29.0,0,0,0,0,0,0,2,68,0,0,9,116,2,0,0,0,2022,14.7
2,,Courtland Sutton,DEN,HOU,0,0,0.0,7,83,1.0,14.3,Home,HOU@DEN,12.0,0,0,0,0,0,0,1,5,0,0,7,122,0,0,0,0,2022,-2.3000000000000007
2,,Marquise Brown,ARI,LV,2,8,0.0,5,74,1.0,14.2,Away,ARI@LV,6.0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0,2022,-8.2
2,,Brandin Cooks,HOU,DEN,0,0,0.0,6,76,1.0,13.6,Away,HOU@DEN,5.0,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,2022,-8.6
2,,Christian Kirk,JAC,IND,0,0,0.0,6,76,1.0,13.6,Home,IND@JAX,19.0,0,0,0,0,0,0,0,0,0,0,6,78,2,0,0,0,2022,5.4
2,,Rashod Bateman,BAL,MIA,0,0,0.0,5,74,1.0,13.4,Home,MIA@BAL,16.0,0,0,0,0,0,0,0,0,0,0,4,108,1,0,0,0,2022,2.5999999999999996
2,,JuJu Smith-Schuster,KC,LAC,0,0,0.0,6,74,1.0,13.4,Home,LAC@KC,1.0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,2022,-12.4
2,,Robert Woods,TEN,BUF,0,0,0.0,5,74,1.0,13.4,Away,TEN@BUF,3.0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,2022,-10.4
2,,D.J. Moore,CAR,NYG,0,0,0.0,6,73,1.0,13.3,Away,CAR@NYG,10.0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0,2022,-3.3000000000000007
2,,Darnell Mooney,CHI,GB,0,0,0.0,6,72,1.0,13.2,Away,CHI@GB,0.0,0,0,0,0,0,0,0,0,0,0,1,-4,0,0,0,0,2022,-13.2
2,,Allen Robinson,LAR,ATL,0,0,0.0,5,72,1.0,13.2,Home,ATL@LA,11.0,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0,2022,-2.1999999999999993
2,,Michael Thomas,NO,TB,0,0,0.0,5,72,1.0,13.2,Home,TB@NO,12.0,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0,2022,-1.1999999999999993
2,,Terry McLaurin,WAS,DET,0,0,0.0,6,71,1.0,13.1,Away,WAS@DET,7.0,0,0,0,0,0,0,1,7,0,0,4,75,0,0,0,0,2022,-6.1
2,,Jaylen Waddle,MIA,BAL,0,0,0.0,6,69,1.0,12.9,Away,MIA@BAL,29.0,0,0,0,0,0,0,0,0,0,0,11,171,2,0,0,0,2022,16.1
2,,Jerry Jeudy,DEN,HOU,0,0,0.0,4,68,1.0,12.8,Home,HOU@DEN,1.0,0,0,0,0,0,0,1,1,0,0,1,11,0,0,0,0,2022,-11.8
2,,CeeDee Lamb,DAL,CIN,0,0,0.0,5,67,1.0,12.7,Home,CIN@DAL,7.0,0,0,0,0,0,0,1,6,0,0,7,75,0,0,0,0,2022,-5.699999999999999
2,,Josh Palmer,LAC,KC,0,0,0.0,5,65,1.0,12.5,Away,LAC@KC,9.0,0,0,0,0,0,0,0,0,0,0,4,30,1,0,0,0,2022,-3.5
2,,Drake London,ATL,LAR,0,0,0.0,5,64,1.0,12.4,Away,ATL@LA,16.0,0,0,0,0,0,0,0,0,0,0,8,86,1,1,0,0,2022,3.5999999999999996
2,,Diontae Johnson,PIT,NE,0,0,0.0,5,63,1.0,12.3,Home,NE@PIT,7.0,0,0,0,0,0,0,0,0,0,0,6,57,0,1,0,0,2022,-5.300000000000001
2,,Elijah Moore,NYJ,CLE,0,0,0.0,4,63,1.0,12.3,Away,NYJ@CLE,4.0,0,0,0,0,0,0,1,-6,0,0,3,41,0,0,0,0,2022,-8.3
2,,Marquez Valdes-Scantling,KC,LAC,0,0,0.0,5,59,1.0,11.9,Home,LAC@KC,1.0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,2022,-10.9
2,,Adam Thielen,MIN,PHI,0,0,0.0,5,58,1.0,11.8,Away,MIN@PHI,5.0,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0,2022,-6.800000000000001
2,,Brandon Aiyuk,SF,SEA,0,0,0.0,4,55,1.0,11.5,Home,SEA@SF,6.0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,2022,-5.5
2,,Tee Higgins,CIN,DAL,0,0,0.0,4,55,1.0,11.5,Away,CIN@DAL,13.0,0,0,0,0,0,0,0,0,0,0,6,71,1,0,0,0,2022,1.5
2,,Jahan Dotson,WAS,DET,0,0,0.0,4,52,1.0,11.2,Away,WAS@DET,13.0,0,0,0,0,0,0,0,0,0,0,4,59,1,1,0,0,2022,1.8000000000000007
2,,Allen Lazard,GB,CHI,0,0,0.0,4,47,1.0,10.7,Home,CHI@GB,7.0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,2022,-3.6999999999999993
2,,Jakobi Meyers,NE,PIT,0,0,0.0,4,64,0.0,6.4,Away,NE@PIT,9.0,0,0,0,0,0,0,0,0,0,0,9,95,0,0,0,0,2022,2.5999999999999996
2,,Nico Collins,HOU,DEN,0,0,0.0,5,63,0.0,6.3,Away,HOU@DEN,5.0,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0,2022,-1.2999999999999998
2,,Chase Claypool,PIT,NE,3,15,0.0,3,47,0.0,6.2,Home,NE@PIT,2.0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,2022,-4.2
