Week,Player,Game,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
1,Justin Jefferson,GB@MIN,30.00,0,0,0,0,0,0,0,0,0,0,9,184,2,0,0,0
1,Davante Adams,LV@LAC,20.00,0,0,0,0,0,0,0,0,0,0,10,141,1,0,0,0
1,Ja'Marr Chase,PIT@CIN,18.00,0,0,0,0,0,0,0,0,0,0,10,129,1,0,0,0
1,Stefon Diggs,BUF@LA,18.00,0,0,0,0,0,0,0,0,0,0,8,122,1,0,0,0
1,Cooper Kupp,BUF@LA,18.00,0,0,0,0,0,0,0,0,0,0,13,128,1,0,0,0
1,Michael Pittman,IND@HOU,18.00,0,0,0,0,0,0,0,0,0,0,9,121,1,0,0,0
1,Devin Duvernay,BAL@NYJ,17.00,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
1,Michael Thomas,NO@ATL,17.00,0,0,0,0,0,0,0,0,0,0,5,57,2,0,0,0
1,Robbie Chosen,CLE@CAR,16.00,0,0,0,0,0,0,0,0,0,0,5,102,1,0,0,0
1,Jahan Dotson,JAX@WAS,16.00,0,0,0,0,0,0,1,-10,0,0,3,40,2,0,0,0
1,Jerry Jeudy,DEN@SEA,16.00,0,0,0,0,0,0,0,0,0,0,4,102,1,0,0,0
1,A.J. Brown,PHI@DET,15.00,0,0,0,0,0,0,0,0,0,0,10,155,0,0,0,0
1,Gabriel Davis,BUF@LA,14.00,0,0,0,0,0,0,0,0,0,0,4,88,1,0,0,0
1,Mike Evans,TB@DAL,13.00,0,0,0,0,0,0,0,0,0,0,5,71,1,0,0,0
1,Sterling Shepard,NYG@TEN,13.00,0,0,0,0,0,0,0,0,0,0,2,71,1,0,0,0
1,DeAndre Carter,LV@LAC,12.00,0,0,0,0,0,0,0,0,0,0,3,64,1,0,0,0
1,Amon-Ra St. Brown,PHI@DET,12.00,0,0,0,0,0,0,0,0,0,0,8,64,1,0,0,0
1,Jaylen Waddle,NE@MIA,12.00,0,0,0,0,0,0,1,8,0,0,4,69,1,0,0,0
1,Rashod Bateman,BAL@NYJ,11.00,0,0,0,0,0,0,0,0,0,0,2,59,1,0,0,0
1,D.J. Chark,PHI@DET,11.00,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0
1,Christian Kirk,JAX@WAS,11.00,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0
