Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Tm,Actual_Fantasy_Points,Predicted_Fantasy_Points
Jerry Jeudy,DEN,88.0,102.37726982413348
Jesper Horsted,LVR,0.0,32.70082346033381
Joe Mixon,CIN,215.0,91.43615708053623
John Bates,WAS,15.0,43.58573335782594
Johnny Johnson,HOU,0.0,29.932730618215896
Johnny Mundt,MIN,23.0,42.07594216649589
Jonathan Taylor,IND,137.0,68.36505272987219
Jonathan Williams,WAS,0.0,37.04588533875864
Jordan Love,GNB,319.0,29.932730618215896
Jordan Mason,SFO,42.0,29.932730618215896
Josh Palmer,LAC,69.0,100.78325851734293
Josh Reynolds,DET,89.0,67.49947892173256
Joshua Kelley,LAC,54.0,50.08613941123642
Josiah Deguara,GNB,7.0,40.96760245402424
Julius Chestnut,TEN,0.0,33.060958064436456
Justice Hill,BAL,81.0,38.578543177528104
Justin Fields,CHI,230.0,29.932730618215896
Justin Herbert,LAC,233.0,30.75843990883899
Justin Watson,KAN,62.0,50.498231598205976
Juwan Johnson,NOR,61.0,75.16199507525505
K.J. Osborn,MIN,72.0,100.3748282831747
Kalif Raymond,DET,62.0,61.004040044777184
Kareem Hunt,CLE,104.0,66.44209903565499
Ke'Shawn Vaughn,TAM,4.0,32.70082346033381
Keaontay Ingram,ARI,10.0,33.34854202011517
Keith Kirkwood,NOR,10.0,32.673999113128154
Keith Smith,ATL,3.0,31.251604333118678
Kendrick Bourne,NWE,63.0,58.893733976112316
Kene Nwangwu,MIN,1.0,31.742531355329568
Kenneth Gainwell,PHI,67.0,50.93127252506258
Kenneth Walker III,SEA,170.0,58.1383835555399
Kenny Pickett,PIT,110.0,29.932730618215896
Kenny Yeboah,NYJ,3.0,29.932730618215896
Kevin Harris,NWE,18.0,29.932730618215896
Kevin Rader,TEN,1.0,29.932730618215896
KhaDarel Hodge,ATL,23.0,42.79725607363419
Khalil Herbert,CHI,93.0,34.45402063519575
Khalil Shakir,BUF,74.0,41.50769584721413
Khari Blasingame,CHI,3.0,30.440837055399275
Kirk Merritt,NOR,0.0,29.932730618215896
Ko Kieft,TAM,6.0,33.36602510735557
Kwamie Lassiter II,CIN,0.0,29.932730618215896
Kyle Philips,TEN,16.0,39.345820696771796
Kyle Pitts,ATL,84.0,74.831663361412
Kyle Trask,TAM,0.0,29.932730618215896
Kylen Granson,IND,43.0,55.35761589439345
Kyler Murray,ARI,146.0,29.932730618215896
Laviska Shenault Jr.,CAR,12.0,50.079273384808744
Logan Thomas,WAS,72.0,81.12876023853319
Logan Woodside,ATL,0.0,29.932730618215896
Luke Farrell,JAX,16.0,33.418615532529536
Mac Jones,NWE,106.0,29.932730618215896
Malik Davis,DAL,0.0,35.6318277997037
Malik Willis,TEN,3.0,29.932730618215896
Marquez Callaway,NOR,0.0,53.25187345403174
Marquez Valdes-Scantling,KAN,36.0,73.72749771184465
Marquise Brown,ARI,84.0,111.51531888030571
Mason Kinsey,TEN,1.0,30.548468128527517
Matt Breida,NYG,30.0,49.146560697129175
Matt Sokol,NWE,0.0,29.932730618215896
Matthew Slater,NWE,0.0,29.932730618215896
Michael Gallup,DAL,54.0,97.2958476811919
Michael Pittman Jr.,IND,141.0,147.53948122294554
Michael Thomas,NOR,51.0,36.023891089586016
Mike Williams,LAC,31.0,87.19038033367822
Miles Boykin,PIT,2.0,31.901545428742576
Mitchell Trubisky,PIT,49.0,29.932730618215896
Mitchell Wilcox,CIN,6.0,39.84894928421865
Mo Alie-Cox,IND,36.0,42.026014427372345
MyCole Pruitt,ATL,17.0,30.22028743494532
Najee Harris,PIT,167.0,80.4445843214662
Nathan Peterman,CHI,0.0,29.932730618215896
Nick Mullens,MIN,67.0,29.932730618215896
Nick Muse,MIN,2.0,29.932730618215896
Nick Westbrook-Ikhine,TEN,57.0,61.25813975973087
Nico Collins,HOU,180.0,72.6663180864345
Noah Fant,SEA,41.0,72.44432285698038
Noah Gray,KAN,43.0,51.44112627165854
Noah Togiai,PHI,0.0,30.440837055399275
Parker Hesse,ATL,0.0,38.33587891568797
Pat Freiermuth,PIT,45.0,85.83598189040919
Patrick Taylor,GNB,19.0,31.130327478123238
Peyton Hendershot,DAL,4.0,33.89611685708754
Quez Watkins,PHI,20.0,63.9640210047951
Quintin Morris,BUF,9.0,34.10528925088775
Rachaad White,TAM,204.0,81.7007942997279
Raheem Blackshear,CAR,11.0,38.94555088122816
Rashod Bateman,BAL,45.0,46.865653549848304
Ray-Ray McCloud,SFO,17.0,46.2395658079093
Reggie Gilliam,BUF,0.0,33.05837749709203
Rhamondre Stevenson,NWE,108.0,121.82854458035408
Rico Dowdle,DAL,75.0,29.932730618215896
River Cracraft,MIA,18.0,32.198076496713014
Romeo Doubs,GNB,115.0,81.65260083293542
Rondale Moore,ARI,65.0,64.55433451402764
Ronnie Rivers,LAR,15.0,33.54345464510034
Ross Dwelley,SFO,1.0,32.89516131744533
Russell Wilson,DEN,257.0,30.47604533180619
Ryan Tannehill,TEN,80.0,29.932730618215896
Salvon Ahmed,MIA,27.0,30.741228209791213
Sam Ehlinger,IND,0.0,29.932730618215896
Sam Howell,WAS,257.0,29.932730618215896
Samori Toure,GNB,8.0,33.43065476009354
Sean McKeon,DAL,0.0,31.901545428742576
Skyy Moore,KAN,33.0,51.811760760605296
Stanley Morgan Jr.,CIN,0.0,30.440837055399275
Stefon Diggs*,BUF,167.0,173.459019346658
Stephen Sullivan,CAR,13.0,34.57836499925267
Sterling Shepard,NYG,10.0,44.53262915185789
Stone Smartt,LAC,22.0,33.26713565888253
Tanner Conner,MIA,0.0,31.627230129368108
Tay Martin,SFO,0.0,29.932730618215896
Taysom Hill,NOR,111.0,30.886482039633794
Teagan Quitoriano,HOU,3.0,32.498867541184936
Tee Higgins,CIN,96.0,112.67353148082029
Terrace Marshall Jr.,CAR,14.0,60.543672569332045
Tim Jones,JAX,8.0,33.04002864556085
Tommy Tremble,CAR,37.0,47.468462340486724
